Gene,Importance,symbol,name
ENSG00000181218,2.959622355263383e-05,H2AC25,H2A clustered histone 25
ENSG00000213759,2.952162808618298e-05,UGT2B11,UDP glucuronosyltransferase family 2 member B11
ENSG00000211669,2.9443747386032785e-05,IGLV3-10,immunoglobulin lambda variable 3-10
ENSG00000112977,2.9369848588110245e-05,DAP,death associated protein
ENSG00000211893,2.9287166226534435e-05,IGHG2,immunoglobulin heavy constant gamma 2 (G2m marker)
ENSG00000112306,2.9241385907113404e-05,RPS12,ribosomal protein S12
ENSG00000166165,2.9094627041924927e-05,CKB,creatine kinase B
ENSG00000252835,2.9076745552869347e-05,SCARNA21,small Cajal body-specific RNA 21
ENSG00000198467,2.9074717111673943e-05,TPM2,tropomyosin 2
ENSG00000211897,2.903124387481028e-05,IGHG3,immunoglobulin heavy constant gamma 3 (G3m marker)
ENSG00000011600,2.8460943542152936e-05,TYROBP,transmembrane immune signaling adaptor TYROBP
ENSG00000111640,2.8456608356270097e-05,GAPDH,glyceraldehyde-3-phosphate dehydrogenase
ENSG00000165949,2.836930811196229e-05,IFI27,interferon alpha inducible protein 27
ENSG00000198695,2.83151493269872e-05,MT-ND6,NADH dehydrogenase subunit 6
ENSG00000134240,2.802018981699825e-05,HMGCS2,3-hydroxy-3-methylglutaryl-CoA synthase 2
ENSG00000130522,2.7982435254007943e-05,JUND,"JunD proto-oncogene, AP-1 transcription factor subunit"
ENSG00000229314,2.7860685692682363e-05,ORM1,orosomucoid 1
ENSG00000129562,2.781362479634002e-05,DAD1,defender against cell death 1
ENSG00000198763,2.76670511854548e-05,MT-ND2,NADH dehydrogenase subunit 2
ENSG00000102243,2.764863196872981e-05,VGLL1,vestigial like family member 1
ENSG00000100097,2.7513590240516333e-05,LGALS1,galectin 1
ENSG00000151552,2.751058703927356e-05,QDPR,quinoid dihydropteridine reductase
ENSG00000108107,2.746106267233067e-05,RPL28,ribosomal protein L28
ENSG00000171302,2.745388164958959e-05,CANT1,calcium activated nucleotidase 1
ENSG00000244402,2.722419760110189e-05,RN7SL314P,"RNA, 7SL, cytoplasmic 314, pseudogene"
ENSG00000211679,2.7222586939989532e-05,IGLC3,immunoglobulin lambda constant 3 (Kern-Oz+ marker)
